stoc_pol_mean,VF_error_before,stoc_pol_min,VF_error_after,time_opt,eval_score,kl_dist,time_VF,time_sampling,surr_improvement,running_score,stoc_pol_std,alpha,stoc_pol_max
-243.17751237620524,0.014866609276188365,-277.8483849178161,0.01174052670857322,0.06279802322387695,1.2192737637794453,0.002663365,0.0024590492248535156,0.5227069854736328,0.002856309,-300.21559173231077,20.770621951724944,1.0,-216.43154455877337
-217.22459113382033,0.034775596716818846,-255.28303655975716,0.015721640426591573,0.06661581993103027,1.1308013633540384,0.0010032037,0.002418041229248047,0.5334680080413818,0.0012313497,-291.91649167246175,20.270050919799004,1.0,-191.11448307852578
-197.1759085273763,0.03533681264464534,-252.42556605533133,0.02569933773049731,0.06440901756286621,4.928540655930006,0.001304437,0.0024709701538085938,0.5286920070648193,0.0015442915,-282.4424333579532,29.46972278153934,1.0,-153.5721243773161
-196.67726881411897,0.021121545192485353,-227.692836920271,0.01825563836167655,0.06804490089416504,2.033711408357758,0.0023143222,0.003000020980834961,0.5237360000610352,0.0025705574,-273.86591690356977,24.802921694181553,1.0,-135.51201751422127
-166.0845301208514,0.06130214201316034,-202.40105218279515,0.028833584913169327,0.06290817260742188,4.543114802374027,0.002293505,0.0024149417877197266,0.5273370742797852,0.0026193648,-263.08777822529794,19.012837834342058,1.0,-140.28892317326992
-172.86505927126615,0.03355387798031328,-198.4564447175208,0.02954987468275673,0.06626605987548828,10.846643768036179,0.0020521625,0.003593921661376953,0.5309610366821289,0.0022767733,-254.0655063298948,22.377428160885135,1.0,-134.83323791848673
-145.09793003900327,0.08737235052638585,-197.33780984843946,0.05012568058756219,0.06422710418701172,20.406780232093404,0.004184607,0.0026748180389404297,0.5268418788909912,0.004237705,-243.16874870080562,31.63120958049975,1.0,-108.39791491717243
-149.70232569724698,0.03496978491737299,-176.63645005967518,0.030793799203808335,0.07072210311889648,25.355278163917145,0.00077707047,0.0029680728912353516,0.5274538993835449,0.000814424,-233.82210640044974,19.035207401417786,1.0,-121.56599581134186
-153.49727620743005,0.04188208485691453,-181.59612059237273,0.037670785318741865,0.06650400161743164,42.57242583553587,0.004025027,0.0032219886779785156,0.5247738361358643,0.0037845667,-225.78962338114778,23.43377195024084,1.0,-96.26884694093837
-107.25537582228694,0.2836254561397563,-146.90111361638208,0.11213616064424635,0.06635093688964844,123.05547453288708,0.0055568027,0.003078937530517578,0.5291769504547119,0.004348866,-213.9361986252617,29.46216984799238,1.0,-51.983329594520164
-74.17585703914173,0.2767909354047165,-120.9576409422365,0.18101041373268284,0.06940698623657227,278.16380937943535,0.0073410138,0.003139019012451172,0.5353949069976807,0.004690845,-199.9601644666497,29.680615951615383,1.0,-28.044186013026913
-41.507430041584044,0.9278698543973064,-110.1000445460452,0.542550822787426,0.06594300270080566,417.36294968149184,0.00923173,0.0031290054321289062,0.5287890434265137,0.00535094,-184.11489102414316,34.0732108042081,1.0,10.753223921997316
14.382396479758981,1.081053244085714,-44.28562239043201,0.43417855030626396,0.06913089752197266,729.9789256586754,0.021232469,0.0030350685119628906,0.5285060405731201,0.00826561,-164.26516227375294,35.15934347082206,1.0,69.48515995215075
74.58895906879097,0.40930057058032643,-54.12330310157383,0.21115778901898452,0.06714892387390137,246.64403395203658,0.024543606,0.002907991409301758,0.5234241485595703,0.00684019,-140.37975013949855,64.59356380677346,1.0,191.27133693657305
125.81069340720747,0.6043004343929322,-59.36440215734921,0.19818144842746382,0.06819486618041992,188.3961432258038,0.0009449355,0.003058910369873047,0.5304789543151855,0.00044232063,-113.76070578482796,93.3959184064844,1.0,270.6857569127022
120.50372516444804,0.2252798952631917,-97.03952565512228,0.1875852798814641,0.06643509864807129,156.59493335058002,0.007430961,0.003660917282104492,0.529608964920044,0.0024689771,-90.33426268990036,130.71323181888027,1.0,300.588148886835
157.02066226548683,0.20194927008852195,-60.567531840419,0.17079063619987486,0.06716704368591309,329.5749119384049,0.0032580437,0.0032918453216552734,0.5331230163574219,0.0017322798,-65.59877019436165,109.88714254447106,1.0,335.4665124823034
220.0757906128055,0.12449732588778262,32.042447887957,0.09738974439746789,0.07206201553344727,268.55201810660805,0.0014694795,0.0034410953521728516,0.5252490043640137,0.0005395374,-37.03131411364493,102.03270138495648,1.0,355.2804474706931
203.8932905917693,0.1293959509657847,-80.12771140351207,0.10811640421462149,0.06266498565673828,223.2220908231133,0.0019179514,0.002543926239013672,0.5410220623016357,0.0008757,-12.938853643103506,113.59301889300465,1.0,369.6209814038504
192.73490318273127,0.12999138795829782,-98.6025060522587,0.11647473238255908,0.06050515174865723,193.1364404799119,0.0009458715,0.0030410289764404297,0.5188639163970947,0.00045809383,7.628522039479973,125.38605612833754,1.0,343.4524901110286
252.28725082828186,0.15372940208359864,-62.30099048625876,0.11982438578058191,0.06619811058044434,269.7566920182743,0.000490971,0.00335693359375,0.5281949043273926,0.00022852376,32.094394918360166,137.39039261178127,1.0,405.01508936234154
214.3168760017229,0.12974123582929106,-78.04054358403769,0.10574391225672684,0.06889796257019043,251.8231148027898,0.0018339736,0.0030791759490966797,0.5206000804901123,0.0005874471,50.31664302669644,132.62526569640036,1.0,392.3085482004856
259.77396335160313,0.13876385707810837,-104.61300515527289,0.12199316468731336,0.07071304321289062,141.48953252095288,0.00067577616,0.003078937530517578,0.5280289649963379,0.00036403656,71.26237505918712,158.38753113464458,1.0,490.31610612522593
158.48696211915643,0.2898074674641377,-222.5399467003359,0.2077734106519672,0.07055878639221191,413.6264888490902,0.0018460093,0.0025911331176757812,0.5239651203155518,0.0007972969,79.98483376518405,157.44156846786976,1.0,314.02323868874277
